id,type,category,source,title,text,ans1,ans2,ans3,Answerstext,Question,Star
10101,穴埋め,一般原則,企業会計原則（真実性の原則）,真実性の原則,企業会計は、企業の[1]及び[2]に関して、[3]を提供するものでなければならない。,財政状態,経営成績,真実な報告,企業会計は、企業の財政状態及び経営成績に関して、真実な報告を提供するものでなければならない。,真実性の原則はどのようなことを要請しているか？,5
10102,穴埋め,一般原則,企業会計原則（正規の簿記の原則）,正規の簿記の原則,企業会計は、すべての取引につき、正規の簿記の原則に従って、[1]な[2]を作成しなければならない。,正確,会計帳簿,,企業会計は、すべての取引につき、正規の簿記の原則に従って、正確な会計帳簿を作成しなければならない。,正規の簿記の原則はどのようなことを要請しているか？,5
10103,穴埋め,一般原則,企業会計原則（資本利益区別の原則）,資本取引・損益取引区別の原則,資本取引と損益取引とを[1]に区別し、特に[2]と[3]とを混同してはならない。,明瞭,資本剰余金,利益剰余金,資本取引と損益取引とを明瞭に区別し、特に資本剰余金と利益剰余金とを混同してはならない。,資本取引・損益取引区別の原則とは何か？,5
10104,穴埋め,一般原則,企業会計原則（明瞭性の原則）,明瞭性の原則,企業会計は、[1]によって、[2]に対し必要な会計事実を[3]し、企業の状況に関する判断を誤らせないようにしなければならない。,財務諸表,利害関係者,明瞭に表示,企業会計は、財務諸表によって、利害関係者に対し必要な会計事実を明瞭に表示し、企業の状況に関する判断を誤らせないようにしなければならない。,明瞭性の原則はどのようなことを要請しているか？,4
10105,穴埋め,一般原則,企業会計原則（継続性の原則）,継続性の原則の必要性,企業が選択した会計処理の原則及び手続を[1]して適用しないときは、同一の会計事実について異なる利益額が算出されることになり、財務諸表の[2]を困難ならしめ、この結果、企業の財務内容に関する[3]の判断を誤らせることになるからである。,毎期継続,期間比較,利害関係者,企業が選択した会計処理の原則及び手続を毎期継続して適用しないときは、同一の会計事実について異なる利益額が算出されることになり、財務諸表の期間比較を困難ならしめ、この結果、企業の財務内容に関する利害関係者の判断を誤らせることになるからである。,継続性の原則の必要性は何か？,5
10106,穴埋め,一般原則,企業会計原則（継続性の原則）,継続性の原則,企業会計は、その処理の原則及び[1]を[2]して[3]し、みだりにこれを変更してはならない。,手続,毎期継続,適用,企業会計は、その処理の原則及び手続を毎期継続して適用し、みだりにこれを変更してはならない。,継続性の原則はどのようなことを要請しているか？,5
10107,穴埋め,一般原則,企業会計原則（保守主義の原則）,保守主義の原則,企業の[1]に不利な影響を及ぼす[2]がある場合には、これに備えて適当に健全な[3]をしなければならない。,財政,可能性,会計処理,企業の財政に不利な影響を及ぼす可能性がある場合には、これに備えて適当に健全な会計処理をしなければならない。,保守主義の原則はどのようなことを要請しているか？,4
10108,穴埋め,一般原則,企業会計原則（単一性の原則）,単一性の原則,[1]のため、信用目的のため、租税目的のため等種々の目的のために異なる形式の[2]を作成する必要がある場合、それらの内容は、信頼しうる[3]に基づいて作成されたものであって、政策の考慮のために事実の真実な表示をゆがめてはならない。,株主総会提出,財務諸表,会計記録,株主総会提出のため、信用目的のため、租税目的のため等種々の目的のために異なる形式の財務諸表を作成する必要がある場合、それらの内容は、信頼しうる会計記録に基づいて作成されたものであって、政策の考慮のために事実の真実な表示をゆがめてはならない。,単一性の原則はどのようなことを要請しているか？,4
10109,穴埋め,一般原則,企業会計原則（重要性の原則）,重要性の原則,[1]が目的とするところは、企業の財務内容を明らかにし、企業の状況に関する[2]の判断を誤らせないようにすることにあるから、重要性の乏しいものについては、本来の厳密な会計処理によらないで他の簡便な方法によることも、[3]の原則に従った処理として認められる。,企業会計,利害関係者,正規の簿記,企業会計が目的とするところは、企業の財務内容を明らかにし、企業の状況に関する利害関係者の判断を誤らせないようにすることにあるから、重要性の乏しいものについては、本来の厳密な会計処理によらないで他の簡便な方法によることも、正規の簿記の原則に従った処理として認められる。,重要性の原則はどのようなことを要請しているか？,4
10110,穴埋め,一般原則,企業会計原則（損益計算書原則）,純粋な発生主義会計,"発生主義会計とは、発生主義の原則に基づいて収益・費用を[1]し、両者の差額として利益を計算する[2]をいう。
ここに発生主義の原則とは[3]の増減に基づいて収益・費用を[1]する原則をいう。",認識,会計体系,経済価値,"発生主義会計とは、発生主義の原則に基づいて収益・費用を認識し、両者の差額として利益を計算する会計体系をいう。
ここに発生主義の原則とは経済価値の増減に基づいて収益・費用を認識する原則をいう。",純粋な発生主義会計とは何か？,5
10111,穴埋め,一般原則,企業会計原則（損益計算書原則）,損益計算書において総額主義の原則が採用される理由,[1]となった取引の[2]を[3]することにより、企業の経営活動の状況を明らかにするものである。,利益源泉,量的規模,明瞭に表示,利益源泉となった取引の量的規模を明瞭に表示することにより、企業の経営活動の状況を明らかにするものである。,損益計算書において総額主義の原則が採用される理由は何か？,4
10112,穴埋め,一般原則,企業会計原則（損益計算書原則）,損益計算書の本質（性格）,損益計算書は、企業の[1]を明らかにするため、[2]に属するすべての収益とこれに対応するすべての費用とを記載して経常利益を表示し、これに特別損益に属する項目を加減して[3]を表示しなければならない。,経営成績,一会計期間,当期純利益,損益計算書は、企業の経営成績を明らかにするため、一会計期間に属するすべての収益とこれに対応するすべての費用とを記載して経常利益を表示し、これに特別損益に属する項目を加減して当期純利益を表示しなければならない。,損益計算書の本質（性格）とは何か？,5
10113,穴埋め,一般原則,企業会計原則（損益計算書原則）,総額主義の原則,費用及び収益は、総額によって[1]することを原則とし、費用の項目と収益の項目とを直接に相殺することによってその[2]は一部を[3]から除去してはならない。,記載,全部又,損益計算書,費用及び収益は、総額によって記載することを原則とし、費用の項目と収益の項目とを直接に相殺することによってその全部又は一部を損益計算書から除去してはならない。,総額主義の原則とは何か？,5
10114,穴埋め,一般原則,企業会計原則（損益計算書原則）,区分表示の原則,費用及び収益は、その[1]に従って明瞭に分類し、[2]とそれに関連する費用項目とを[3]にこれに対応表示しなければならない。,発生源泉,各収益項目,損益計算書,費用及び収益は、その発生源泉に従って明瞭に分類し、各収益項目とそれに関連する費用項目とを損益計算書にこれに対応表示しなければならない。,区分表示の原則とは何か？,5
10115,穴埋め,一般原則,企業会計原則（貸借対照表原則）,原価主義の原則,原価主義の原則とは、[1]をその取得に要した[2]、すなわち[3]に基づいて評価することを指示する資産の評価原則である。,費用性資産,支出額,取得原価,原価主義の原則とは、費用性資産をその取得に要した支出額、すなわち取得原価に基づいて評価することを指示する資産の評価原則である。,原価主義の原則とは何か？,5
10116,穴埋め,一般原則,企業会計原則（貸借対照表原則）,費用配分の原則,費用配分の原則とは、[1]の[2]を[3]に費用として配分していくことを指示する原則をいう。,費用性資産,取得原価,各会計期間,費用配分の原則とは、費用性資産の取得原価を各会計期間に費用として配分していくことを指示する原則をいう。,費用配分の原則とは何か？,5
10117,穴埋め,一般原則,企業会計原則（貸借対照表原則）,費用配分の原則の性格,費用配分の原則は費用の測定原則であるとともに、資産の評価原則でもある。,,,,費用配分の原則は費用の測定原則であるとともに、資産の評価原則でもある。,費用配分の原則の性格とは何か？,5
